time,wind_speed,wind_direction,nacellePosition,nacelle position logs
266,6.7,42.3,44.55,48.3
267,6.6,54.3,44.55,48.3
268,6.9,35.3,44.55,48.3
269,6.3,38.3,44.55,48.3
270,6.4,40.3,44.55,48.3
271,6.4,51.3,44.55,48.3
272,5.7,6.3,44.55,48.3
273,5.4,18.3,44.55,48.3
274,5.5,35.3,44.55,48.3
275,6.4,54.3,44.55,48.3
276,6.7,20.3,44.55,48.3
277,6.9,30.3,44.55,48.3
278,7,35.3,44.55,48.3
279,6.7,30.3,44.55,48.3
280,7.1,76.3,44.55,48.3
281,7.3,13.3,44.55,48.3
282,6.5,38.3,44.55,48.3
283,6.3,69.3,44.55,48.3
284,6.4,40.3,44.55,48.3
285,7.5,13.3,44.55,48.3
286,6.9,54.3,44.55,48.3
287,5.9,47.3,44.55,48.3
288,6.3,64.3,44.55,48.3
289,6.8,20.3,44.55,48.3
290,6.8,42.3,44.55,48.3
291,6.7,35.3,44.55,48.3
292,6.8,45.3,44.55,48.3
293,7.1,28.3,44.55,48.3
294,6.8,72.3,44.55,48.3
295,6.1,-6.7,44.55,48.3
296,6.2,35.3,44.55,48.3
297,6.3,40.3,44.55,48.3
298,6.2,35.3,44.55,48.3
299,6.4,31.3,44.55,48.3
300,6.4,33.3,44.55,48.3
301,6.5,13.3,44.55,48.3
302,6.5,13.3,44.55,48.3
303,6.4,45.3,44.55,48.3
304,7.4,33.3,44.55,48.3
305,7.1,32.3,44.55,48.3
306,6.5,61.3,44.55,48.3
307,6.7,56.3,44.55,48.3
308,7,26.3,44.55,48.3
309,6.9,18.3,44.55,48.3
310,6.6,35.3,44.55,48.3
311,6.3,36.3,44.55,48.3
312,6.4,23.3,44.55,48.3
313,6.3,40.3,44.55,48.3
314,6,28.3,44.55,48.3
315,6.3,54.3,44.55,48.3
316,6.3,8.3,44.55,48.3
317,6.3,8.3,44.55,48.3
318,6.1,52.3,44.55,48.3
319,6.1,49.3,44.55,48.3
320,5.9,57.3,44.55,48.3
321,5.8,18.3,44.55,48.3
322,6.5,18.3,44.55,48.3
323,6.7,25.3,44.55,48.3
324,6.2,49.3,44.55,48.3
325,6.5,76.3,44.55,48.3
326,6.1,45.3,44.55,48.3
327,6.6,45.3,44.55,48.3
328,6.9,45.3,44.55,48.3
329,6.5,45.3,44.55,48.3
330,6.2,45.3,44.55,48.3
331,6,51.3,44.55,48.3
332,6.2,33.3,44.55,48.3
333,6.5,35.3,44.55,48.3
334,6.4,35.3,44.55,48.3
335,6.1,50.3,44.55,48.3
336,6.3,49.3,44.55,48.3
337,6.3,45.3,44.55,48.3
338,5.9,42.3,44.55,48.3
339,6,54.3,44.55,48.3
340,7,30.3,44.55,48.3
341,6.8,45.3,44.55,48.3
342,6.4,54.3,44.55,48.3
343,6.4,21.3,44.55,48.3
344,6.4,33.3,44.55,48.3
345,6.6,48.3,44.55,48.3
346,6.5,54.3,44.55,48.3
347,6.6,40.3,44.55,48.3
348,6.7,10.3,44.55,48.3
349,6.5,40.3,44.55,48.3
350,5.6,35.3,44.55,48.3
351,5.3,35.3,44.55,48.3
352,5.6,66.3,44.55,48.3
353,6.3,18.3,44.55,48.3
354,6.5,49.3,44.55,48.3
355,6.7,35.3,44.55,48.3
356,6.8,49.3,44.55,48.3
357,6.8,71.3,44.55,48.3
358,6.4,49.3,44.55,48.3
359,5.9,61.3,44.55,48.3
360,6.2,35.3,44.55,48.3
361,6.6,43.3,44.55,48.3
362,6.5,13.3,44.55,48.3
363,6.3,64.3,44.55,48.3
364,6.4,31.3,44.55,48.3
365,6,23.3,44.55,48.3
366,5.9,15.3,44.55,48.3
367,6.2,51.3,44.55,48.3
368,6.2,6.3,44.55,48.3
369,5.7,59.3,44.55,48.3
370,6.1,37.3,44.55,48.3
371,6.6,30.3,44.55,48.3
372,7,49.3,44.55,48.3
373,6.9,51.3,44.55,48.3
374,6.8,30.3,44.55,48.3
375,6.7,40.3,44.55,48.3
376,6.5,23.3,44.55,48.3
377,6.3,56.3,44.55,48.3
378,6.1,18.3,44.55,48.3
379,6.1,-46.7,44.55,48.3
380,5.7,69.3,44.55,48.3
381,6.2,30.3,44.55,48.3
382,6.7,35.3,44.55,48.3
383,7,59.3,44.55,48.3
