time,wind_speed,wind_direction,nacellePosition,nacelle position logs
294,6.7,69.1,49.83,46.1
295,6.8,49.1,49.83,46.1
296,6.7,67.1,49.83,46.1
297,6.2,64.1,49.83,46.1
298,5.8,31.1,49.83,46.1
299,6,52.1,49.83,46.1
300,6.8,62.1,49.83,46.1
301,6.9,82.1,49.83,46.1
302,6.6,77.1,49.83,46.1
303,6.1,87.1,49.83,46.1
304,6.2,49.1,49.83,46.1
305,6.6,21.1,49.83,46.1
306,6.4,26.1,49.83,46.1
307,6.3,36.1,49.83,46.1
308,6.4,59.1,49.83,46.1
309,6.6,89.1,49.83,46.1
310,6.3,41.1,49.83,46.1
311,6,64.1,49.83,46.1
312,6,33.1,49.83,46.1
313,5.9,46.1,49.83,46.1
314,6.2,59.1,49.83,46.1
315,7,47.1,49.83,46.1
316,6.7,49.1,49.83,46.1
317,6,64.1,49.83,46.1
318,6.2,62.1,49.83,46.1
319,6.7,41.1,49.83,46.1
320,6.6,31.1,49.83,46.1
321,6.4,26.1,49.83,46.1
322,6,26.1,49.83,46.1
323,5.5,62.1,49.83,46.1
324,5.8,28.1,49.83,46.1
325,6.1,46.1,49.83,46.1
326,6.4,77.1,49.83,46.1
327,6.5,43.1,49.83,46.1
328,6.4,31.1,49.83,46.1
329,5.8,64.1,49.83,46.1
330,5.7,47.1,49.83,46.1
331,6.3,54.1,49.83,46.1
332,6.1,94.1,49.83,46.1
333,6.4,57.1,49.83,46.1
334,6.5,49.1,49.83,46.1
335,6.6,26.1,49.83,46.1
336,6.4,52.1,49.83,46.1
337,6.3,36.1,49.83,46.1
338,6,47.1,49.83,46.1
339,5.8,57.1,49.83,46.1
340,6.2,69.1,49.83,46.1
341,6.5,77.1,49.83,46.1
342,6.3,74.1,49.83,46.1
343,6.5,33.1,49.83,46.1
344,6.2,69.1,49.83,46.1
345,5.7,64.1,49.83,46.1
346,6,16.1,49.83,46.1
347,6.9,43.1,49.83,46.1
348,6.6,87.1,49.83,46.1
349,6.2,52.1,49.83,46.1
350,6,36.1,49.83,46.1
351,5.4,16.1,49.83,46.1
352,5.1,82.1,49.83,46.1
353,5.1,26.1,49.83,46.1
354,5.1,57.1,49.83,46.1
355,5.4,26.1,49.83,46.1
356,5.7,38.1,49.83,46.1
357,5.8,13.1,49.83,46.1
358,6.1,64.1,49.83,46.1
359,6.3,79.1,49.83,46.1
360,6.4,38.1,49.83,46.1
361,6.8,64.1,49.83,46.1
362,6.4,52.1,49.83,46.1
363,6.1,16.1,49.83,46.1
364,6.3,54.1,49.83,46.1
365,5.6,43.1,49.83,46.1
366,6.3,46.1,49.83,46.1
367,6.9,46.1,49.83,46.1
368,6.4,54.1,49.83,46.1
369,6.3,8.1,49.83,46.1
370,5.8,31.1,49.83,46.1
371,5.7,62.1,49.83,46.1
372,5.7,18.1,49.83,46.1
373,5.6,69.1,49.83,46.1
374,6.2,38.1,49.83,46.1
375,6.5,46.1,49.83,46.1
376,6.8,33.1,49.83,46.1
377,6.1,69.1,49.83,46.1
378,5.8,36.1,49.83,46.1
379,6.3,33.1,49.83,46.1
380,6.6,57.1,49.83,46.1
381,6.1,52.1,49.83,46.1
382,5.8,67.1,49.83,46.1
383,5.9,49.1,49.83,46.1
384,6.3,59.1,49.83,46.1
385,6.4,38.1,49.83,46.1
386,6.7,26.1,49.83,46.1
387,6.3,16.1,49.83,46.1
388,5.7,26.1,49.83,46.1
389,5.6,31.1,49.83,46.1
390,5.9,72.1,49.83,46.1
391,6.2,54.1,49.83,46.1
392,5.9,52.1,49.83,46.1
393,5.9,99.1,49.83,46.1
394,5.7,64.1,49.83,46.1
395,5.4,69.1,49.83,46.1
396,5.7,67.1,49.83,46.1
397,5.5,47.1,49.83,46.1
398,5.9,77.1,49.83,46.1
399,6.3,82.1,49.83,46.1
400,5.8,69.1,49.83,46.1
401,5.4,59.1,49.83,46.1
402,5.5,79.1,49.83,46.1
403,6.1,89.1,49.83,46.1
404,6.4,31.1,49.83,46.1
405,6.4,62.1,49.83,46.1
406,6.5,72.1,49.83,46.1
407,6.7,46.1,49.83,46.1
408,7,64.1,49.83,46.1
409,6.9,28.1,49.83,46.1
410,6.7,43.1,49.83,46.1
411,6.4,84.1,49.83,46.1
412,6.4,74.1,49.83,46.1
413,6.8,33.1,49.83,46.1
414,6.6,36.1,49.83,46.1
415,6,49.1,49.83,46.1
416,5.6,84.1,49.83,46.1
417,5.8,67.1,49.83,46.1
418,6.3,59.1,49.83,46.1
419,6.5,13.1,49.83,46.1
420,6.2,36.1,49.83,46.1
421,5.8,52.1,49.83,46.1
422,5.8,54.1,49.83,46.1
423,6.7,72.1,49.83,46.1
424,6.4,89.1,49.83,46.1
425,6.2,52.1,49.83,46.1
426,5.9,38.1,49.83,46.1
427,6.3,59.1,49.83,46.1
428,6.6,33.1,49.83,46.1
429,7.1,59.1,49.83,46.1
430,7.6,43.1,49.83,46.1
431,7.2,21.1,49.83,46.1
432,6.4,31.1,49.83,46.1
433,6.2,33.1,49.83,46.1
434,5.5,38.1,49.83,46.1
435,5.2,47.1,49.83,46.1
436,5.5,33.1,49.83,46.1
437,5.3,54.1,49.83,46.1
438,5.2,47.1,49.83,46.1
439,5.6,18.1,49.83,46.1
440,6.3,52.1,49.83,46.1
441,6,47.1,49.83,46.1
442,5.9,43.1,49.83,46.1
443,5.4,54.1,49.83,46.1
444,6.6,59.1,49.83,46.1
445,7.5,92.1,49.83,46.1
446,7.3,36.1,49.83,46.1
447,6.3,52.1,49.83,46.1
448,5.4,49.1,49.83,46.1
449,5.4,47.1,49.83,46.1
450,5.7,49.1,49.83,46.1
451,6,1.1,49.83,46.1
452,6,59.1,49.83,46.1
453,6.3,59.1,49.83,46.1
454,6.1,72.1,49.83,46.1
455,5.9,82.1,49.83,46.1
456,5.6,69.1,49.83,46.1
457,6.1,46.1,49.83,46.1
458,6,1.1,49.83,46.1
459,5.9,72.1,49.83,46.1
460,6.2,28.1,49.83,46.1
461,5.9,69.1,49.83,46.1
462,6.3,21.1,49.83,46.1
463,6.4,23.1,49.83,46.1
464,6,59.1,49.83,46.1
465,5.8,41.1,49.83,46.1
466,5.8,43.1,49.83,46.1
467,5.7,47.1,49.83,46.1
468,5.9,79.1,49.83,46.1
469,6.7,57.1,49.83,46.1
470,6.4,38.1,49.83,46.1
471,6.3,69.1,49.83,46.1
472,6.4,67.1,49.83,46.1
473,6.1,54.1,49.83,46.1
474,6.2,31.1,49.83,46.1
475,6.4,49.1,49.83,46.1
476,6.2,31.1,49.83,46.1
477,6.5,49.1,49.83,46.1
478,7,52.1,49.83,46.1
479,7.2,64.1,49.83,46.1
480,6.7,67.1,49.83,46.1
481,6.7,26.1,49.83,46.1
482,6.6,74.1,49.83,46.1
483,6.2,94.1,49.83,46.1
484,6.7,26.1,49.83,46.1
485,6.8,31.1,49.83,46.1
486,6.7,62.1,49.83,46.1
487,6.1,106.1,49.83,46.1
488,6.8,16.1,49.83,46.1
489,7.1,59.1,49.83,46.1
490,6.4,21.1,49.83,46.1
491,5.6,49.1,49.83,46.1
492,5.9,49.1,49.83,46.1
493,6.7,64.1,49.83,46.1
494,7.7,33.1,49.83,46.1
495,7.4,49.1,49.83,46.1
496,5.9,89.1,49.83,46.1
497,5.3,52.1,49.83,46.1
498,5.8,43.1,49.83,46.1
499,6.3,72.1,49.83,46.1
500,6.5,43.1,49.83,46.1
501,6.5,74.1,49.889,46.1
502,6.3,57.1,50.112,46.1
503,6.4,54.1,50.441,46.1
504,5.9,69.1,50.771,46.1
505,6.3,55.1,51.101,46.1
506,6.8,28.1,51.431,46.1
507,6.3,46.1,51.761,46.1
508,5.8,64.1,52,46.1
509,6.1,57.1,52.074,46.1
510,6.5,69.1,52.074,46.1
511,6.9,74.1,52.074,46.1
512,6.2,31.1,52.074,46.1
513,5.6,49.1,52.074,46.1
514,5.7,40.1,52.074,46.1
515,5.7,18.1,52.074,46.1
516,5.4,67.1,52.074,46.1
517,5.9,64.1,52.074,46.1
518,6.4,47.1,52.074,46.1
519,6.1,41.1,52.074,46.1
520,6.3,54.1,52.074,46.1
521,7,16.1,52.074,46.1
522,6.9,59.1,52.074,46.1
523,6.9,74.1,52.074,46.1
524,7.3,67.1,52.074,46.1
525,7.6,16.1,52.074,46.1
526,7,18.1,52.074,46.1
527,6.4,43.1,52.074,46.1
528,6.4,36.1,52.074,46.1
529,6.3,52.1,52.074,46.1
530,7,26.1,52.074,46.1
531,7.5,52.1,52.074,46.1
532,7.2,28.1,52.074,46.1
533,6.6,57.1,52.074,46.1
534,6.7,67.1,52.074,46.1
535,6.8,74.1,52.074,46.1
536,6.6,18.1,52.074,46.1
537,6.2,57.1,52.074,46.1
538,5.9,38.1,52.074,46.1
539,5.7,87.1,52.074,46.1
540,5.7,99.1,52.074,46.1
541,6.2,46.1,52.074,46.1
542,6.1,62.1,52.074,46.1
